%% weka file for methodology2 emotion

@relation Emotion
@attribute LEB1_CPLE1 numeric
@attribute LEB2_CPLE2 numeric
@attribute REB1_CPRE1 numeric
@attribute REB2_CPRE2 numeric
@attribute OPEN_LE1 numeric
@attribute OPEN_LE2 numeric
@attribute OPEN_RE1 numeric
@attribute OPEN_RE2 numeric
@attribute EXP_MO numeric
@attribute OPEN_MO1 numeric
@attribute OPEN_MO2 numeric
@attribute OPEN_MO3 numeric
@attribute NS_LPLIP numeric
@attribute NS_RPLIP numeric
@attribute betweenEyesWrinkles numeric
@attribute noseWrinkles numeric
@attribute label {anger, smile, sad, surprise, neutral, fear, disgust}

@data
27,26,28,28,5,6,5,5,129,19,19,19,16,12,81,155,smile
32,33,34,33,5,5,5,5,127,27,26,27,26,22,17,179,smile
25,27,28,27,8,7,8,8,133,31,32,31,23,18,57,156,smile
26,28,29,29,7,6,7,7,132,33,34,34,23,20,61,159,smile
26,28,29,26,10,10,10,10,114,23,22,24,24,32,19,215,smile
28,30,31,29,9,9,9,9,125,24,24,24,25,30,0,179,smile
27,29,30,29,8,7,6,6,120,41,40,41,26,34,9,138,smile
28,30,32,29,8,8,7,7,123,43,43,45,26,36,8,172,smile
25,24,22,24,11,10,9,9,119,23,22,21,19,11,71,311,smile
23,21,21,23,9,10,9,9,114,26,24,24,17,9,94,298,smile
24,23,21,23,10,11,10,10,114,38,36,36,25,16,54,298,smile
25,25,24,25,9,8,7,7,132,36,34,34,18,8,85,323,smile
38,39,36,37,10,10,10,10,103,20,18,19,25,22,89,414,smile
37,39,36,37,9,9,8,8,101,18,17,18,23,20,100,341,smile
32,32,32,32,10,9,10,10,97,28,26,27,21,17,78,355,smile
33,33,30,33,7,7,6,6,97,27,27,26,19,15,80,357,smile
29,30,28,29,13,13,13,13,124,8,5,9,24,15,17,155,smile
29,29,28,28,13,13,13,13,121,8,6,8,23,15,16,142,smile
26,27,25,25,9,8,9,9,113,21,20,21,14,22,60,265,smile
28,28,28,27,6,6,6,6,117,21,21,22,11,20,42,325,smile
30,30,30,29,16,17,16,16,84,49,49,51,44,49,5,149,surprise
26,25,25,26,16,16,16,16,82,49,49,50,45,49,12,152,surprise
26,23,22,26,14,13,12,12,85,29,27,29,34,33,206,242,surprise
